age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,cluster
56,housemaid,married,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
57,services,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
37,services,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
40,admin.,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
56,services,married,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
45,services,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
59,admin.,married,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
41,blue-collar,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
24,technician,single,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
25,services,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
41,blue-collar,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
25,services,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
29,blue-collar,single,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
57,housemaid,divorced,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,retired,married,basic.9y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
46,blue-collar,married,basic.6y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
50,blue-collar,married,basic.9y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
39,management,single,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
30,unemployed,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
55,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
55,retired,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
41,technician,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
37,admin.,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,technician,married,university.degree,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
59,technician,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
39,self-employed,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
54,technician,single,university.degree,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
55,unknown,married,university.degree,unknown,unknown,unknown,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
46,admin.,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
59,technician,married,unknown,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
49,blue-collar,married,unknown,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
54,management,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
54,blue-collar,divorced,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
55,unknown,married,basic.4y,unknown,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
34,services,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
52,technician,married,basic.9y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
41,admin.,married,university.degree,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,technician,married,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
