age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,cluster
56,3,1,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
57,7,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
37,7,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
40,0,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
56,7,1,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
45,7,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
59,0,1,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
41,1,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
24,9,2,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
25,7,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
41,1,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
25,7,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
29,1,2,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5
57,3,0,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
35,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
54,5,1,2,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
35,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
46,1,1,1,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
50,1,1,2,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
39,4,2,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5
30,10,1,3,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
55,1,1,0,1,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
55,5,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3
41,9,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
37,0,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1
35,9,1,6,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
59,9,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
39,6,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
54,9,2,6,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0
55,11,1,6,1,1,1,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
46,0,1,7,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2
59,9,1,7,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4
