age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,cluster,offer_id
56,3,1,0,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_030
57,7,1,3,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_181
37,7,1,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_155
40,0,1,1,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_107
56,7,1,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_106
45,7,1,2,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,4,O_199
59,0,1,5,0,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_029
41,1,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_164
24,9,2,5,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_055
25,7,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_031
41,1,1,7,1,0,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,2,O_126
25,7,2,3,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,0,O_225
29,1,2,3,0,0,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,5,O_172
57,3,0,0,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_178
35,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_168
54,5,1,2,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_183
35,1,1,1,0,2,0,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_123
46,1,1,1,1,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,1,O_039
50,1,1,2,0,2,2,may,mon,1.1,93.994,-36.4,4.857,5191.0,no,3,O_195
